Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Cluster,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,OTP_Q1,National_Q1,Target_Q2,ActualOutput_Q2,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,National_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,OTP_Q3,National_Q3,Target_Q4,ActualOutput_Q4,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,National_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,OTP_Summary,National_Summary,ValidatedAudited_Summary2,UID
Police,South African Police Service,National,Programme 5: Protection and Security Services,Government Security Regulator,Quarterly,Percentage of strategic installations audited,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster","20,86% (53)
","20,87% (53 from a total of 254).
","Not applicable
","Not applicable
",,,"9,06% (23)",,,,,,"10,24% (26)",,,,,,"8,66% (22)",,,,,,"48,82% (124 of 254)
",-,,,,,,,389
Police,South African Police Service,National,Programme 5: Protection and Security Services,Static Protection,Quarterly,Number of security breaches at identified government installations and identified VIP residences by PPS,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster","Zero security breaches
","Zero security breaches
","Not applicable
","Not applicable
",,,Zero security ,,,,,,Zero security ,,,,,,Zero security ,,,,,,"Zero security breaches
",-,,,,,,,389
Police,South African Police Service,National,Programme 5: Protection and Security Services,Static Protection,Quarterly,Number of security breaches at identified government installations and identified VIP residences by PSS,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster","Zero security breaches
","Zero security breaches
","Not applicable
","Not applicable
",,,Zero security ,,,,,,Zero security ,,,,,,Zero security ,,,,,,"Zero security breaches
",-,,,,,,,389
Police,South African Police Service,National,Programme 5: Protection and Security Services,VIP Protection Services,Quarterly,Number of security breaches during in-transit protection by PSS,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster","Zero security breaches
","Zero security breaches
","Not applicable
","Not applicable
",,,Zero security ,,,,,,Zero security ,,,,,,Zero security ,,,,,,"Zero security breaches
",-,,,,,,,389
Police,South African Police Service,National,Programme 5: Protection and Security Services,VIP Protection Services,Quarterly,Number of security breaches during physical protection by PPS,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster","Zero security breaches
","Zero security breaches
","Not applicable
","Not applicable
",,,Zero security ,,,,,,Zero security ,,,,,,Zero security ,,,,,,"Zero security breaches
",-,,,,,,,389
Public Service and Administration,Public Service and Administration,National,Programme 1: Administration,Programme 1: Administration,Quarterly,"% reduction in cases of fruitless, wasteful and irregular expenditure from the baseline",Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,,,,,,,,,,,,,,,,,,,"70% reduction in cases of fruitless, wasteful and irregular expenditure from the baseline ",,,,,,"70% reduction in cases of fruitless, wasteful and irregular expenditure from the baseline",-,,,,,,,389
Public Service and Administration,Public Service and Administration,National,Programme 1: Administration,Programme 1: Administration,Quarterly,"% representation of people with disabilities in the department’s staff establishment against the targeted 3,5% of 7% 2025/26 ",Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,,,,,,,,,,,,,,,,,,,3.5% representation of people with disabilities in the department’s staff establishment ,,,,,,3.5% representation of people with disabilities in the department’s staff establishment,-,,,,,,,389
Public Service and Administration,Public Service and Administration,National,Programme 1: Administration,Programme 1: Administration,Quarterly,% representation of women in SMS positions in the department against the targeted 50%,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,,,,,,,,,,,,,,,,,,,50%representation  of women in SMS positions in the department,,,,,,50%representation  of women in SMS positions in the department,-,,,,,,,389
Public Service and Administration,Public Service and Administration,National,Programme 1: Administration,Programme 1: Administration,Quarterly,% representation of Youth in the department’s staff establishment against the targeted 30 % by end of 2025/26 ,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,,,,,,,,,,,,,,,,,,,19%representation of Youth in the department’s staff establishment,,,,,,19%representation of Youth in the department’s staff establishment,-,,,,,,,389
Public Service and Administration,Public Service and Administration,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Handbook on all reviewed MPSA determinations and directives issued ,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,Existing determinations and directives issued in terms of the Public Service Act consolidated,The existing determinations and directives issued in terms of the Public Service Act were consolidated.,,,,,Identified determinations and directives reviewed,,,,,, Reviewed determinations and directives consulted,,,,,,Handbook on all reviewed MPSA determinations and directives submitted for approval to issue to departments,,,,,,Handbook on all reviewed MPSA determinations and directives submitted for approval to issue to departments ,-,,,,,,,389
Public Service and Administration,Public Service and Administration,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Number of Bi-annual reports on compliance with the BBBEE prescripts ,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,,,,,,,,,,,,,,,,,,,1 report on compliance with the BBBEE status compiled,,,,,,Bi-annual (2) reports on  compliance with the BBBEE status compiled ,-,,,,,,,389
Public Service and Administration,Public Service and Administration,National,Programme 1: Administration,Programme 1: Administration,Quarterly,"Public Service Regulations, 2016 reviewed",Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,Draft regulations submitted to OCSLA for scrutiny,The Draft Regulations were  submitted to OCSLA for scrutiny in June 2023,,,,,Draft regulations submitted to the Minister for approval to publish in the Government Gazette,,,,,,,,,,,,,,,,,,"Reviewed Public Service Regulations, 2016 approved",-,,,,,,,389
Public Service and Administration,Public Service and Administration,National,Programme 2: Human Resources Management and Development,Programme 2: Human Resources Management and Development,Quarterly,Approved Public Service Human Capital Strategy (PSHC,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,The Terms of Reference for the Draft Public Service Human Capital Strategy (PSHC) Project Team have not yet been approved..,The Terms of Reference for the Draft Public Service Human Capital Strategy (PSHC) Project Team have not yet been approved.,The submission of the Terms of Reference for the Draft Public Service Human Capital Strategy ( which includes the proposed project team) for approval was delayed due to the lack of coordinating capacity. The submission of the Terms of Reference for the Draft Public Service Human Capital Strategy (which includes the proposed project team) for approval was delayed due to the lack of coordinating capacity ,"The TORs and proposed project team  will be submitted for approval during the 2nd quarter. 
The TORs and proposed project team  will be submitted for approval during the 2nd quarter",,,Draft Public Service Human Capital (PSHC) Strategy developed. Reference Team for the Draft Public Service Human Capital Strategy (PSHC) appointed,,,,,,2nd Draft Public Service Human Capital (PSHC) Strategy approved for consultation,,,,,,Final draft Public Service Human Capital (PSHC) Strategy submitted for approval,,,,,, Terms of Reference for the Draft Public Service Human Capital Strategy (PSHC) approved,-,,,,,,,389
Public Service and Administration,Public Service and Administration,National,Programme 2: Human Resources Management and Development,Programme 2: Human Resources Management and Development,Quarterly,Number of departments supported to implement of the Directive on Mandatory inservice training for  the public service ,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,Sixty (60) Departments supported to implement the Directive on Mandatory in-service training,The Sixty (60) Departments were not supported to implement the Directive on Mandatory in-service training,"The support to the 60 departments was dependent on the approval of the Directive on Mandatory in-service training. The discussions on the Directive between the NSG, Branch HRMD and DPSA Legal Services didn’t yield an agreement on the list of courses to be made mandatory. NSG insisted on limiting the Directive to the list contained in the 2018 Cabinet Decision as these have already secured funding from Treasury. The DPSA seeks to expand the list to include areas towards the promotion of the Professionalisation Framework. ",The Directive will be submitted for approval during the 2nd quarter after which the support to departments will commence,,,Sixty-one (61) Departments supported to implement the Directive on Mandatory in-service training,,,,,,Forty (40) Departments supported to implement the Directive on Mandatory in-service training,,,,,,Report on the implement the Directive on Mandatory in-service training,,,,,,Hundred and Sixty one (161) departments supported to implement the Directive on Mandatory in-service training,-,,,,,,,389
Public Service and Administration,Public Service and Administration,National,Programme 2: Human Resources Management and Development,Programme 2: Human Resources Management and Development,Quarterly,Number of departments supported to implement the Professionalisation framework for Public Service. ,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,Directive on Professionalisation framework for Public Service issued,The Directive on Professionalisation framework for Public Service has not yet been issued ,The draft Directive on Professionalisation was submitted timely to the Legal Services for quality Assurance. Substantive matters were raised including the need to issue a DPSA Wide Directive as Professionalisation which includes all areas and not only employment management. ,The Revised Directive will be submitted for approval and issued with other directives in the second half of the financial year,,,Sixty (60) Departments supported to implement the Professionalisation framework for Public Service,,,,,,Sixty-one (61) Departments supported to implement the Professionalisation framework for Public Service,,,,,,Forty (40) Departments supported to implement the Professionalisation framework for Public Service,,,,,,Hundred and Sixty one (161 departments supported to implement the Professionalisation framework for Public Service.,-,,,,,,,389
